"","term","time13","time25","time37","time59","time7","source"
"Richness.1","(Intercept)","0.018 ","-0.027 ","0.057 ","0.069 ","-0.011 ","Richness"
"Richness.2","sizesmall","-0.055 ","0.14 ","0.059 ","-0.2 ","0.0022 ","Richness"
"Richness.3","sizesmall:sub_rich","0.00049 ","-0.0012 *","-9e-04 ","0.0014 ","-1e-06 ","Richness"
"Richness.4","sub_rich","-0.00013 ","0.00019 ","-0.00034 ","-0.00042 ","7.8e-05 ","Richness"
"Richness.5",NA,NA,NA,NA,NA,NA,"Richness"
"Richness.Fstat","Fstat","0.54","1.86","1.6","1.33","0.09","Richness"
"Richness.numdf","numdf","3","3","3","3","3","Richness"
"Richness.dendf","dendf","50","48","47","50","51","Richness"
"Richness.r.squared","r.squared","0.03","0.1","0.09","0.07","0.01","Richness"
"ShannonsH.1","(Intercept)","0.031 ","-0.056 ","-0.0039 ","0.08 ","-0.011 ","ShannonsH"
"ShannonsH.2","sizesmall","-0.16 ","0.37 ","-0.0032 ","-0.14 ","0.049 ","ShannonsH"
"ShannonsH.3","sizesmall:sub_rich","0.049 ","-0.11 ","-0.0064 ","0.032 ","-0.015 ","ShannonsH"
"ShannonsH.4","sub_rich","-0.0091 ","0.016 ","0.0037 ","-0.02 ","0.0033 ","ShannonsH"
"ShannonsH.5",NA,NA,NA,NA,NA,NA,"ShannonsH"
"ShannonsH.Fstat","Fstat","1.28","1.35","0.16","0.31","0.13","ShannonsH"
"ShannonsH.numdf","numdf","3","3","3","3","3","ShannonsH"
"ShannonsH.dendf","dendf","50","48","47","50","51","ShannonsH"
"ShannonsH.r.squared","r.squared","0.07","0.08","0.01","0.02","0.01","ShannonsH"
"Sapro.rich.1","(Intercept)","-0.0066 ","-0.031 ","-0.043 ","0.097 ","-0.0017 ","Sapro.rich"
"Sapro.rich.2","sizesmall","-0.025 ","0.11 ","0.12 ","-0.086 ","0.015 ","Sapro.rich"
"Sapro.rich.3","sizesmall:sub_rich","0.0033 ","-0.015 ","-0.02 ","0.0082 ","-0.0019 ","Sapro.rich"
"Sapro.rich.4","sub_rich","0.00089 ","0.0042 ","0.007 ","-0.012 ","0.00023 ","Sapro.rich"
"Sapro.rich.5",NA,NA,NA,NA,NA,NA,"Sapro.rich"
"Sapro.rich.Fstat","Fstat","0.41","1.31","1.07","1.37","0.07","Sapro.rich"
"Sapro.rich.numdf","numdf","3","3","3","3","3","Sapro.rich"
"Sapro.rich.dendf","dendf","50","48","47","50","51","Sapro.rich"
"Sapro.rich.r.squared","r.squared","0.02","0.08","0.06","0.08","0","Sapro.rich"
"Basidio.rich.1","(Intercept)","-0.0043 ","-0.011 ","0.0071 ","0.033 ","-0.0016 ","Basidio.rich"
"Basidio.rich.2","sizesmall","-0.044 ","0.11 *","0.053 ","-0.14 ","0.0085 ","Basidio.rich"
"Basidio.rich.3","sizesmall:sub_rich","0.0045 ","-0.0099 *","-0.0072 ","0.0093 ","-7e-04 ","Basidio.rich"
"Basidio.rich.4","sub_rich","0.00031 ","0.00077 ","0.00011 ","-0.0016 ","0.00011 ","Basidio.rich"
"Basidio.rich.5",NA,NA,NA,NA,NA,NA,"Basidio.rich"
"Basidio.rich.Fstat","Fstat","0.66","2.57","0.84","1.1","0.03","Basidio.rich"
"Basidio.rich.numdf","numdf","3","3","3","3","3","Basidio.rich"
"Basidio.rich.dendf","dendf","50","48","47","50","51","Basidio.rich"
"Basidio.rich.r.squared","r.squared","0.04","0.14","0.05","0.06","0","Basidio.rich"
"Patho.rich.1","(Intercept)","0.017 ","-0.014 ","-0.03 ","0.074 ","0.0069 ","Patho.rich"
"Patho.rich.2","sizesmall","-0.034 ","0.073 ","0.14 ","-0.12 ","-0.035 ","Patho.rich"
"Patho.rich.3","sizesmall:sub_rich","0.0047 ","-0.011 ","-0.024 *","0.013 ","0.005 ","Patho.rich"
"Patho.rich.4","sub_rich","-0.0022 ","0.0018 ","0.0052 ","-0.0084 ","-0.00092 ","Patho.rich"
"Patho.rich.5",NA,NA,NA,NA,NA,NA,"Patho.rich"
"Patho.rich.Fstat","Fstat","0.36","0.77","2.29","0.9","0.52","Patho.rich"
"Patho.rich.numdf","numdf","3","3","3","3","3","Patho.rich"
"Patho.rich.dendf","dendf","50","48","47","50","51","Patho.rich"
"Patho.rich.r.squared","r.squared","0.02","0.05","0.13","0.05","0.03","Patho.rich"
"Oomy.rich.1","(Intercept)","6.9e-19 ","-9.7e-19 ","0.0087 ","0.011 ","-3.5e-18 ","Oomy.rich"
"Oomy.rich.2","sizesmall","2e-18 ","-2.5e-18 ","-0.025 ","-0.029 ","1.4e-18 ","Oomy.rich"
"Oomy.rich.3",NA,NA,NA,NA,NA,NA,"Oomy.rich"
"Oomy.rich.Fstat","Fstat","0","0","0.5","0.63","0","Oomy.rich"
"Oomy.rich.numdf","numdf","1","1","1","1","1","Oomy.rich"
"Oomy.rich.dendf","dendf","52","50","49","52","53","Oomy.rich"
"Oomy.rich.r.squared","r.squared","0","0","0.01","0.01","0","Oomy.rich"
