"","term","alpha","beta","w.r2","w.t50","source"
"Richness.1","(Intercept)","-0.3 ","1.2 ","-0.044 ","0.65 ","Richness"
"Richness.2","mean","0.002 ","-0.008 ","0.00029 ","-0.0043 ","Richness"
"Richness.3","sizesmall","-0.026 ","-0.79 ","0.022 ","-0.34 ","Richness"
"Richness.4","sizesmall:mean","0.00018 ","0.0052 ","-0.00014 ","0.0022 ","Richness"
"Richness.5",NA,NA,NA,NA,NA,"Richness"
"Richness.6","Fstat","1.70","0.75","0.25","0.61","Richness"
"Richness.7","numdf","3","3","3","3","Richness"
"Richness.8","dendf","29","29","29","29","Richness"
"Richness.9","r.squared","0.15","0.07","0.02","0.06","Richness"
"ShannonsH.1","(Intercept)","0.41 ","0.96 ","-0.084 ","0.72 ","ShannonsH"
"ShannonsH.2","mean","-0.12 ","-0.28 ","0.024 ","-0.21 ","ShannonsH"
"ShannonsH.3","sizesmall","-0.92 ","-0.75 ","0.025 ","-0.77 ","ShannonsH"
"ShannonsH.4","sizesmall:mean","0.26 ","0.22 ","-0.0076 ","0.22 ","ShannonsH"
"ShannonsH.5",NA,NA,NA,NA,NA,"ShannonsH"
"ShannonsH.6","Fstat","0.86","0.09","0.29","0.11","ShannonsH"
"ShannonsH.7","numdf","3","3","3","3","ShannonsH"
"ShannonsH.8","dendf","29","29","29","29","ShannonsH"
"ShannonsH.9","r.squared","0.08","0.01","0.03","0.01","ShannonsH"
"Sapro.rich.1","(Intercept)","-0.32 ","2.1 **","-0.019 ","1.3 *","Sapro.rich"
"Sapro.rich.2","mean","0.044 ","-0.3 **","0.0027 ","-0.18 **","Sapro.rich"
"Sapro.rich.3","sizesmall","0.025 ","-1.8 ","0.012 ","-0.86 ","Sapro.rich"
"Sapro.rich.4","sizesmall:mean","-0.014 ","0.26 *","-0.0019 ","0.13 ","Sapro.rich"
"Sapro.rich.5",NA,NA,NA,NA,NA,"Sapro.rich"
"Sapro.rich.6","Fstat","1.73","3.21","0.05","3.13","Sapro.rich"
"Sapro.rich.7","numdf","3","3","3","3","Sapro.rich"
"Sapro.rich.8","dendf","29","29","29","29","Sapro.rich"
"Sapro.rich.9","r.squared","0.15","0.25","0.01","0.24","Sapro.rich"
"Basidio.rich.1","(Intercept)","-0.13 ","0.85 ","-0.043 ","0.49 ","Basidio.rich"
"Basidio.rich.2","mean","0.0072 ","-0.048 ","0.0025 ","-0.028 ","Basidio.rich"
"Basidio.rich.3","sizesmall","-0.15 ","-0.8 ","0.045 ","-0.42 ","Basidio.rich"
"Basidio.rich.4","sizesmall:mean","0.0082 ","0.046 ","-0.0026 ","0.024 ","Basidio.rich"
"Basidio.rich.5",NA,NA,NA,NA,NA,"Basidio.rich"
"Basidio.rich.6","Fstat","1.08","0.41","0.22","0.32","Basidio.rich"
"Basidio.rich.7","numdf","3","3","3","3","Basidio.rich"
"Basidio.rich.8","dendf","29","29","29","29","Basidio.rich"
"Basidio.rich.9","r.squared","0.10","0.04","0.02","0.03","Basidio.rich"
"Patho.rich.1","(Intercept)","-0.16 ","1.1 ","-0.066 ","0.6 ","Patho.rich"
"Patho.rich.2","mean","0.021 ","-0.14 ","0.0087 ","-0.079 ","Patho.rich"
"Patho.rich.3","sizesmall","0.049 ","-1.1 ","0.07 ","-0.56 ","Patho.rich"
"Patho.rich.4","sizesmall:mean","-0.0088 ","0.15 ","-0.0091 ","0.074 ","Patho.rich"
"Patho.rich.5",NA,NA,NA,NA,NA,"Patho.rich"
"Patho.rich.6","Fstat","0.40","0.90","0.68","0.62","Patho.rich"
"Patho.rich.7","numdf","3","3","3","3","Patho.rich"
"Patho.rich.8","dendf","29","29","29","29","Patho.rich"
"Patho.rich.9","r.squared","0.04","0.09","0.07","0.06","Patho.rich"
"Oomy.rich.1","(Intercept)","0.0086 ","0.062 ","0.0035 ","0.07 ","Oomy.rich"
"Oomy.rich.2","mean","-0.039 ","-0.28 ","-0.016 ","-0.32 ","Oomy.rich"
"Oomy.rich.3","sizesmall","-0.032 ","-0.11 ","0.002 ","-0.079 ","Oomy.rich"
"Oomy.rich.4","sizesmall:mean","0.14 ","0.48 ","-0.009 ","0.36 ","Oomy.rich"
"Oomy.rich.5",NA,NA,NA,NA,NA,"Oomy.rich"
"Oomy.rich.6","Fstat","0.18","0.18","0.25","0.44","Oomy.rich"
"Oomy.rich.7","numdf","3","3","3","3","Oomy.rich"
"Oomy.rich.8","dendf","29","29","29","29","Oomy.rich"
"Oomy.rich.9","r.squared","0.02","0.02","0.03","0.04","Oomy.rich"
