"","term","time13","time25","time37","time59","time7","source"
"Richness.1","(Intercept)","0.88 ***","0.56 ***","0.49 ***","0.37 ***","0.9 ***","Richness"
"Richness.2","sizesmall","-0.032 ","0.17 ","0.17 ","-0.15 ","-0.03 ","Richness"
"Richness.3","sizesmall:sub_rich","-0.00038 ","-0.0015 *","-0.0019 *","0.00065 ","-9.6e-05 ","Richness"
"Richness.4","sub_rich","0.00017 ","0.00089 *","0.00029 ","-0.00013 ","0.00031 ","Richness"
"Richness.5",NA,NA,NA,NA,NA,NA,"Richness"
"Richness.6","Fstat","7.03","3.11","2.76","0.84","4.57","Richness"
"Richness.7","numdf","3","3","3","3","3","Richness"
"Richness.8","dendf","59","59","57","61","61","Richness"
"Richness.9","r.squared","0.26","0.14","0.13","0.04","0.18","Richness"
"ShannonsH.1","(Intercept)","0.84 ***","0.41 **","0.27 ","0.2 ","0.87 ***","ShannonsH"
"ShannonsH.2","sizesmall","0.015 ","0.37 ","0.45 ","0.074 ","-0.0075 ","ShannonsH"
"ShannonsH.3","sizesmall:sub_rich","-0.029 ","-0.12 ","-0.16 *","-0.039 ","-0.011 ","ShannonsH"
"ShannonsH.4","sub_rich","0.019 ","0.083 *","0.076 ","0.043 ","0.022 ","ShannonsH"
"ShannonsH.5",NA,NA,NA,NA,NA,NA,"ShannonsH"
"ShannonsH.6","Fstat","6.98","2.71","2.28","0.83","3.96","ShannonsH"
"ShannonsH.7","numdf","3","3","3","3","3","ShannonsH"
"ShannonsH.8","dendf","59","59","57","61","61","ShannonsH"
"ShannonsH.9","r.squared","0.26","0.12","0.11","0.04","0.16","ShannonsH"
"Sapro.rich.1","(Intercept)","0.88 ***","0.64 ***","0.51 ***","0.41 ***","0.92 ***","Sapro.rich"
"Sapro.rich.2","sizesmall","-0.029 ","0.079 ","0.13 ","-0.12 ","-0.004 ","Sapro.rich"
"Sapro.rich.3","sizesmall:sub_rich","-0.0072 ","-0.018 ","-0.027 ","0.0079 ","-0.0058 ","Sapro.rich"
"Sapro.rich.4","sub_rich","0.0044 ","0.0073 ","0.0032 ","-0.0091 ","0.0037 ","Sapro.rich"
"Sapro.rich.5",NA,NA,NA,NA,NA,NA,"Sapro.rich"
"Sapro.rich.6","Fstat","7.33","1.99","2.15","0.93","3.91","Sapro.rich"
"Sapro.rich.7","numdf","3","3","3","3","3","Sapro.rich"
"Sapro.rich.8","dendf","59","59","57","61","61","Sapro.rich"
"Sapro.rich.9","r.squared","0.27","0.09","0.10","0.04","0.16","Sapro.rich"
"Basidio.rich.1","(Intercept)","0.87 ***","0.65 ***","0.51 ***","0.37 ***","0.93 ***","Basidio.rich"
"Basidio.rich.2","sizesmall","-0.067 ","0.035 ","0.02 ","-0.14 ","-0.058 ","Basidio.rich"
"Basidio.rich.3","sizesmall:sub_rich","-0.00084 ","-0.0055 ","-0.0064 ","0.0047 ","0.00079 ","Basidio.rich"
"Basidio.rich.4","sub_rich","0.002 ","0.0026 ","0.0014 ","-0.00096 ","0.00099 ","Basidio.rich"
"Basidio.rich.5",NA,NA,NA,NA,NA,NA,"Basidio.rich"
"Basidio.rich.6","Fstat","7.39","1.48","1.26","0.86","3.93","Basidio.rich"
"Basidio.rich.7","numdf","3","3","3","3","3","Basidio.rich"
"Basidio.rich.8","dendf","59","59","57","61","61","Basidio.rich"
"Basidio.rich.9","r.squared","0.27","0.07","0.06","0.04","0.16","Basidio.rich"
"Patho.rich.1","(Intercept)","0.89 ***","0.63 ***","0.45 ***","0.39 ***","0.94 ***","Patho.rich"
"Patho.rich.2","sizesmall","-0.029 ","0.059 ","0.17 ","-0.15 ","-0.061 ","Patho.rich"
"Patho.rich.3","sizesmall:sub_rich","-0.0076 ","-0.015 ","-0.034 *","0.012 ","0.0019 ","Patho.rich"
"Patho.rich.4","sub_rich","0.0027 ","0.0087 ","0.011 ","-0.0053 ","0.0017 ","Patho.rich"
"Patho.rich.5",NA,NA,NA,NA,NA,NA,"Patho.rich"
"Patho.rich.6","Fstat","7.44","1.86","3.18","0.88","3.78","Patho.rich"
"Patho.rich.7","numdf","3","3","3","3","3","Patho.rich"
"Patho.rich.8","dendf","59","59","57","61","61","Patho.rich"
"Patho.rich.9","r.squared","0.27","0.09","0.14","0.04","0.16","Patho.rich"
"Oomy.rich.1","(Intercept)","0.91 ***","0.68 ***","0.52 ***","0.34 ***","0.95 ***","Oomy.rich"
"Oomy.rich.2","sizesmall","-0.078 ***","-0.035 ","-0.044 ","-0.035 ","-0.046 **","Oomy.rich"
"Oomy.rich.3","sizesmall:sub_rich","-0.033 ","-0.12 ","-0.15 ","-0.13 ","-0.0097 ","Oomy.rich"
"Oomy.rich.4","sub_rich","0.0022 ","0.1 *","0.064 ","0.046 ","-0.0093 ","Oomy.rich"
"Oomy.rich.5",NA,NA,NA,NA,NA,NA,"Oomy.rich"
"Oomy.rich.6","Fstat","7.05","2.89","2.02","1.46","3.63","Oomy.rich"
"Oomy.rich.7","numdf","3","3","3","3","3","Oomy.rich"
"Oomy.rich.8","dendf","59","59","57","61","61","Oomy.rich"
"Oomy.rich.9","r.squared","0.26","0.13","0.10","0.07","0.15","Oomy.rich"
