"","term","time13","time25","time37","time59","time7","source"
"Richness.1","(Intercept)","0.023 ","-0.035 ","0.061 ","0.075 ","-0.0064 ","Richness"
"Richness.2","sizesmall","-0.1 ","0.15 ","0.033 ","-0.2 ","0.04 ","Richness"
"Richness.3","sizesmall:sub_rich","0.00075 *","-0.0011 *","-0.00053 ","0.0012 ","-0.00029 ","Richness"
"Richness.4","sub_rich","-0.00015 ","0.00022 ","-0.00033 ","-0.00041 ","4.1e-05 ","Richness"
"Richness.5",NA,NA,NA,NA,NA,NA,"Richness"
"Richness.Fstat","Fstat","1.5","1.53","1.1","1.11","0.33","Richness"
"Richness.numdf","numdf","3","3","3","3","3","Richness"
"Richness.dendf","dendf","50","48","47","50","51","Richness"
"Richness.r.squared","r.squared","0.08","0.09","0.07","0.06","0.02","Richness"
"ShannonsH.1","(Intercept)","0.04 ","-0.088 ","-0.04 ","0.059 ","-0.0045 ","ShannonsH"
"ShannonsH.2","sizesmall","-0.12 ","0.28 ","0.12 ","-0.17 ","-0.057 ","ShannonsH"
"ShannonsH.3","sizesmall:sub_rich","0.036 ","-0.082 ","-0.042 ","0.043 ","0.017 ","ShannonsH"
"ShannonsH.4","sub_rich","-0.011 ","0.025 ","0.014 ","-0.014 ","0.0013 ","ShannonsH"
"ShannonsH.5",NA,NA,NA,NA,NA,NA,"ShannonsH"
"ShannonsH.Fstat","Fstat","0.79","1.26","0.39","0.42","0.44","ShannonsH"
"ShannonsH.numdf","numdf","3","3","3","3","3","ShannonsH"
"ShannonsH.dendf","dendf","50","48","47","50","51","ShannonsH"
"ShannonsH.r.squared","r.squared","0.04","0.07","0.02","0.02","0.03","ShannonsH"
"Sapro.rich.1","(Intercept)","0.0072 ","0.0016 ","0.014 ","0.15 ","0.01 ","Sapro.rich"
"Sapro.rich.2","sizesmall","-0.038 ","0.061 ","0.13 ","-0.25 *","-0.0015 ","Sapro.rich"
"Sapro.rich.3","sizesmall:sub_rich","0.0029 ","-0.0049 ","-0.013 ","0.013 *","-0.00019 ","Sapro.rich"
"Sapro.rich.4","sub_rich","-0.00034 ","-7.4e-05 ","-0.00026 ","-0.0067 ","-0.00048 ","Sapro.rich"
"Sapro.rich.5",NA,NA,NA,NA,NA,NA,"Sapro.rich"
"Sapro.rich.Fstat","Fstat","0.37","0.57","1.35","1.91","0.07","Sapro.rich"
"Sapro.rich.numdf","numdf","3","3","3","3","3","Sapro.rich"
"Sapro.rich.dendf","dendf","50","48","47","50","51","Sapro.rich"
"Sapro.rich.r.squared","r.squared","0.02","0.03","0.08","0.1","0","Sapro.rich"
"Basidio.rich.1","(Intercept)","0.011 ","-0.02 ","0.034 ","0.042 ","-0.002 ","Basidio.rich"
"Basidio.rich.2","sizesmall","-0.06 ","0.095 ","0.014 ","-0.14 ","0.02 ","Basidio.rich"
"Basidio.rich.3","sizesmall:sub_rich","0.002 ","-0.003 ","-0.0012 ","0.0035 ","-0.00061 ","Basidio.rich"
"Basidio.rich.4","sub_rich","-0.00036 ","0.00064 ","-0.00083 ","-0.001 ","6.6e-05 ","Basidio.rich"
"Basidio.rich.5",NA,NA,NA,NA,NA,NA,"Basidio.rich"
"Basidio.rich.Fstat","Fstat","0.87","1.22","0.73","0.98","0.16","Basidio.rich"
"Basidio.rich.numdf","numdf","3","3","3","3","3","Basidio.rich"
"Basidio.rich.dendf","dendf","50","48","47","50","51","Basidio.rich"
"Basidio.rich.r.squared","r.squared","0.05","0.07","0.04","0.06","0.01","Basidio.rich"
"Patho.rich.1","(Intercept)","0.015 ","-0.016 ","0.011 ","0.043 ","0.0093 ","Patho.rich"
"Patho.rich.2","sizesmall","-0.01 ","0.092 ","0.11 ","-0.093 ","-0.019 ","Patho.rich"
"Patho.rich.3","sizesmall:sub_rich","0.00065 ","-0.0079 ","-0.012 *","0.005 ","0.0015 ","Patho.rich"
"Patho.rich.4","sub_rich","-0.0011 ","0.0011 ","-0.00014 ","-0.0022 ","-0.00066 ","Patho.rich"
"Patho.rich.5",NA,NA,NA,NA,NA,NA,"Patho.rich"
"Patho.rich.Fstat","Fstat","0.26","1.34","2.53","0.52","0.17","Patho.rich"
"Patho.rich.numdf","numdf","3","3","3","3","3","Patho.rich"
"Patho.rich.dendf","dendf","50","48","47","50","51","Patho.rich"
"Patho.rich.r.squared","r.squared","0.02","0.08","0.14","0.03","0.01","Patho.rich"
"Oomy.rich.1","(Intercept)","0.003 ","-0.012 ","4.9e-05 ","0.011 ","0.0044 ","Oomy.rich"
"Oomy.rich.2","sizesmall","-0.00015 ","0.015 ","-0.013 ","-0.027 ","0.0065 ","Oomy.rich"
"Oomy.rich.3","sizesmall:sub_rich","-0.016 ","-0.1 ","-0.054 ","-0.015 ","-0.09 *","Oomy.rich"
"Oomy.rich.4","sub_rich","-0.013 ","0.076 *","0.036 ","-0.0035 ","-0.019 ","Oomy.rich"
"Oomy.rich.5",NA,NA,NA,NA,NA,NA,"Oomy.rich"
"Oomy.rich.Fstat","Fstat","0.42","2.33","0.66","0.22","4.41","Oomy.rich"
"Oomy.rich.numdf","numdf","3","3","3","3","3","Oomy.rich"
"Oomy.rich.dendf","dendf","50","48","47","50","51","Oomy.rich"
"Oomy.rich.r.squared","r.squared","0.02","0.13","0.04","0.01","0.21","Oomy.rich"
